cod_municipio;variavel;faixa_harmonizada;valor;ano_referencia;classificacao
1100155;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;21674.0;2017;harmonizada
1100155;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;19209.0;2017;harmonizada
1100155;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;37415.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;ate_10_ha;228.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;mais_1000_ha;63.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;272.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;377.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;64.0;2017;harmonizada
1100189;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;193.0;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;56058.0;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;9269.0;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;45049.0;2017;harmonizada
1100189;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;13226.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;ate_10_ha;1270.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;mais_1000_ha;87.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;1122.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1266.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;115.0;2017;harmonizada
1100205;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;1261.0;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;ate_10_ha;3040.0;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;197191.0;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;32823.0;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;78896.0;2017;harmonizada
1100205;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;78093.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;ate_10_ha;454.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;mais_1000_ha;7.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;234.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1083.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;20.0;2017;harmonizada
1100254;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;307.0;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;42642.0;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;27492.0;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;14710.0;2017;harmonizada
1100254;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;20829.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;ate_10_ha;102.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;mais_1000_ha;27.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;151.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;131.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;20.0;2017;harmonizada
1100262;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;61.0;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;28641.0;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;3518.0;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;13970.0;2017;harmonizada
1100262;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;4017.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;ate_10_ha;572.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;mais_1000_ha;6.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;300.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;837.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;19.0;2017;harmonizada
1100288;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;304.0;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;54766.0;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;20931.0;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;12828.0;2017;harmonizada
1100288;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;20353.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;ate_10_ha;290.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;mais_1000_ha;16.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;106.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;421.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;14.0;2017;harmonizada
1100296;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;176.0;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;17459.0;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;10767.0;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;9669.0;2017;harmonizada
1100296;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;12020.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;ate_10_ha;709.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;mais_1000_ha;61.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;178.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;416.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;40.0;2017;harmonizada
1100304;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;175.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;ate_10_ha;2009.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;mais_1000_ha;157101.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;38827.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;11369.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;28809.0;2017;harmonizada
1100304;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;11995.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;ate_10_ha;736.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;mais_1000_ha;29.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;194.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1083.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;40.0;2017;harmonizada
1100320;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;405.0;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;ate_10_ha;3414.0;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;37832.0;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;26830.0;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;27407.0;2017;harmonizada
1100320;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;24507.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;ate_10_ha;111.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;mais_1000_ha;25.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;683.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;446.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;46.0;2017;harmonizada
1100338;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;804.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;ate_10_ha;394.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;mais_1000_ha;44776.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;108229.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;14451.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;32345.0;2017;harmonizada
1100338;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;51123.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;ate_10_ha;329.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;mais_1000_ha;21.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;243.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;870.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;27.0;2017;harmonizada
1100346;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;334.0;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;46633.0;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;22553.0;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;19135.0;2017;harmonizada
1100346;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;20856.0;2017;harmonizada
1100379;Número de estabelecimentos agropecuários;ate_10_ha;838.0;2017;harmonizada
1100379;Número de estabelecimentos agropecuários;mais_1000_ha;24.0;2017;harmonizada
1100379;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;193.0;2017;harmonizada
1100379;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;649.0;2017;harmonizada
1100379;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;26.0;2017;harmonizada
