cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
2105203;661.0;24702.0;2017
2105302;709.0;106328.0;2017
2105351;799.0;57966.0;2017
2105401;2131.0;31963.0;2017
2105427;655.0;217603.0;2017
2105450;528.0;12778.0;2017
2105476;932.0;49973.0;2017
2105500;679.0;84113.0;2017
2105609;1146.0;27243.0;2017
2105658;195.0;25947.0;2017
2105708;1010.0;75905.0;2017
2105807;674.0;17539.0;2017
2105906;615.0;35490.0;2017
2105922;1012.0;53632.0;2017
2105948;496.0;11106.0;2017
2105963;595.0;38679.0;2017
2105989;691.0;57722.0;2017
2106003;719.0;15760.0;2017
2106102;579.0;216072.0;2017
2106201;273.0;23676.0;2017
2106300;930.0;8260.0;2017
2106326;197.0;40830.0;2017
2106359;382.0;63265.0;2017
2106375;427.0;42956.0;2017
2106409;1074.0;28552.0;2017
2106508;2012.0;16257.0;2017
2106607;2280.0;57435.0;2017
2106631;595.0;38709.0;2017
2106672;1183.0;33700.0;2017
2106706;1566.0;119610.0;2017
2106755;260.0;19943.0;2017
2106805;707.0;1959.0;2017
2106904;934.0;34341.0;2017
2107001;717.0;44833.0;2017
2107100;1266.0;1177.0;2017
2107209;660.0;2755.0;2017
2107258;343.0;36556.0;2017
2107308;138.0;34002.0;2017
2107357;760.0;67126.0;2017
2107407;451.0;50256.0;2017
2107456;1052.0;3151.0;2017
2107506;919.0;1560.0;2017
2107605;1924.0;6998.0;2017
2107704;627.0;25652.0;2017
2107803;1771.0;167829.0;2017
2107902;1258.0;49973.0;2017
2108009;668.0;69625.0;2017
2108058;947.0;1520.0;2017
2108108;710.0;88999.0;2017
2108207;602.0;9372.0;2017
2108256;3130.0;86347.0;2017
2108306;2795.0;29443.0;2017
2108405;633.0;4790.0;2017
2108454;824.0;29167.0;2017
2108504;241.0;15714.0;2017
2108603;2186.0;20336.0;2017
2108702;686.0;30741.0;2017
2108801;972.0;10666.0;2017
2108900;2241.0;66351.0;2017
2109007;953.0;107943.0;2017
